id,korean_text,gloss_sequence,fps,num_frames,json_path,xml_path,video_path
NIA_SL_G1_COLDWAVE000079_1_TW07,"오늘 14시 경북(울릉도. 독도) 한파경보, 노약자 외출자제, 동파방지, 화재예방 등 피해에 주의바랍니다",오늘1 시:2시 경북1 울릉도독도1 춥다1 경보1 피곤하다1 춥다1 사람1 밖1 조심1 얼음1 막다1 불1 막다1 피해1 신경쓰다1 부탁1,30.0,548,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000079_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000079_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000080_1_TW07,"금일 밤부터 10일까지 많은 눈과 한파가 예상되니, 내 집 앞 눈치우기와 수도 동파예방 등 시설물 관리에 유의바랍니다.",오늘1 시작1 까지1 눈내리다1 춥다1 장소1 눈내리다1 두껍다1# 빗자루1 막대기1 잠그다1 막다1 시설1 신경쓰다1 부탁1,30.0,660,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000080_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000080_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000084_1_TW07,"금일 23시 영양군 지역 한파경보, 야외활동 자제, 동파방지, 화재예방 등 피해없게 주의바랍니다 ( 034-220-4000 )",오늘1 밤1 시:11시 지역1 춥다1 발표1 밖1 행동1 멈추다1 얼음1 어긋나다1 막다1 불1 막다1 피해1 조심1 부탁1,30.0,767,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000084_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000084_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000111_1_TW07,"안전안내. 오늘 21시 한파주1의보 발효, 노약자 외출자제, 수도계량기 동파, 비닐하우스 등 시설물 피해에 주의 바랍니다.",오늘1 밤1 시:21시00분 춥다1 경보1 몸1 춥다1 약하다1 사람1 밖1 조심1 얼음1 시설1 피해1 신경쓰다1 부탁1,30.0,634,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000111_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000111_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000113_1_TW07,"2월 10일 21시 강원산간지역 한파경보, 외출자제, 동파방지, 화재예방 등 피해없게 주의바랍니다",날짜:2월10일 날1 밤1 시:21시00분 강원1 산2 지역1 춥다1 경보1 밖1 조심1 얼음1 벌다2 막다1 불1 막다1 피해1 신경쓰다1 부탁1,30.0,649,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000113_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000113_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000118_1_TW07,"금일 21시 창원시 한파, 강풍주의보 발효. 외출자제, 동파방지, 화재예방 등 피해없게 주의바랍니다.",오늘1 밤1 시:21시00분 창원1 춥다1 바람1#정도 경보1 밖1 멈추다1 물1 수도꼭지1 잠기다0 막다1 불1 막다1 신경쓰다1 부탁1,30.0,575,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000118_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000118_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000119_1_TW07,"오늘 밤부터 1월 1일 오전까지 극심한 한파가 예상되오니 수도 동파방지, 전열기구 화재, 농작물 동해 피해가 없도록 주의 바랍니다",오늘1 밤1 시작1 날짜:1월1일 아침1 까지1 춥다1 춥다1 수도꼭지1 막대기1 잠기다0 막다1 뜨겁다1 물건1 여러가지2 밭1 땅1 피해1 신경쓰다1 부탁1,30.0,737,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000119_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000119_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000130_1_TW07,"오늘 밤부터 21시까지 많은 눈과 한파가 예상되니 외출자제, 수도 동파 방지, 교통안전 등 한파에 유의하여 주시기 바랍니다.",오늘1 밤1 시작1 시:9시00분 까지1 눈내리다2# 춥다1 밖1 조심1 수도관0 따뜻하다1 막다1 교통1 편하다1 신경쓰다1 부탁1,30.0,644,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000130_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000130_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000131_1_TW07,한파로 인하여 동파 등으로 수돗물이 부족하여 공급에 어려움이 있습니다. 물절약에 동참하여 주시기 바랍니다.,춥다1 얼음1 어긋나다1 문제1 사고1 아끼다1 신경쓰다1 부탁1,30.0,428,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000131_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000131_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000135_1_TW07,"1월 11일 10시 경북 일부지역 한파주1의보 발령. 노약자 외출자제, 동파방지등 주의바랍니다",날짜:1월11일 아침1 경북1 일부분1 지역1 춥다1 주의보2 발령1 몸1 약하다1 사람1 밖1 멈추다1 얼음1 어긋나다1 막다1 조심1 부탁1,30.0,556,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000135_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000135_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000139_1_TW07,"주말(10일)까지 강력한 한파가 예상되니 수도계량기 등 수도시설물 보온조치, 수도꼭지 물 조금씩 흘려 동파 방지 및 온열기 화재예방 바랍니다.",주말1 날짜:0월10일 까지1 춥다1 시설1 따뜻하다1 조절1 신경쓰다1 얼음1 막다1 따뜻하다1 작동1 불타다1# 막다1 부탁1,30.0,843,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000139_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000139_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000141_1_TW07,금일 21시부터 영하10도의 극심한 한파에 따라 10일까지 수도시설 동파 우려가 있으니 수도설비 보온의 조치를 부탁드립니다.,오늘1 밤1 시:9시 시작1 춥다1 날짜:0월10일 까지1 시설1 얼음1 어긋나다1 수리1 따뜻하다1 신경쓰다1 부탁1,30.0,652,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000141_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000141_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000143_1_TW07,한파로 인해 1.28(목)~1.30(일)까지 임시선별검사소(구민운동장) 운영시간 변경됨을 알려드립니다. 운영시간 : 11시~16시,춥다1 날짜:1월28일 목요일1 날짜:1월30일 일요일1 까지1 임시1 운동장1 운영1 시간1 바꾸다1 운영1 시간1 아침1 시:4시 까지1,30.0,797,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000143_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000143_1_TW07_F.xml,
NIA_SL_G1_COLDWAVE000145_1_TW07,"한파와 폭설이 예상되니 내 집, 내 점포 앞 눈치우기 등 피해에 유의하시고, 야외활동 자제바랍니다.",춥다1 눈내리다1 집1# 집1# 시장1 눈내리다2# 두껍다1 청소1 빗자루1 밖1 행동1 조심1 부탁1,30.0,555,C:\26\GKSL-dataset-main\재난안전수어영상\2.형태소_비수지(json)_TL\NIA_SL_G1_COLDWAVE000145_1_TW07.json,C:\26\GKSL-dataset-main\재난안전수어영상\1.키포인트(xml)_TL\NIA_SL_G1_COLDWAVE000145_1_TW07_F.xml,
